,date,User,Tweet
0,2022-11-23 22:09:19+00:00,IndiGo6E,"@The_Khwabida Ms Sharma, we truly understand your situation here and would like to reunite you with your baggage as soon as possible. Please drop your PNR on our DM so we may quickly check on this. Thanks! ~Sheetal  https://t.co/xcJPAig2qK"
1,2022-11-23 21:46:55+00:00,sheetalballabh,"Gham ka bhi sahi hai,
Doosro ka humesha kam hi lagta hain."
2,2022-11-23 21:18:48+00:00,IcxnicBrownGirl,@IconicBrownBoii https://t.co/YgovLGmuUI
3,2022-11-23 21:18:16+00:00,IcxnicBrownGirl,@IconicBrownBoii 🥺🥺🥺🥺
4,2022-11-23 21:18:06+00:00,IcxnicBrownGirl,@IconicBrownBoii I love you 🥺
5,2022-11-23 21:10:14+00:00,SheetalYadavG,@VootSelect @archanagautamm Savage!
6,2022-11-23 20:40:00+00:00,SheetalJaitly,C'Mon Canada 🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦
7,2022-11-23 20:34:20+00:00,SheetalYadavG,@Urvashi9 @VootSelect @ColorsTV @justvoot Also he said auKaad nahi hai per day k actress hai
8,2022-11-23 20:34:10+00:00,SheetalJaitly,"@GTamburrino Can't even book a flight on the site 🤦‍♂️
Happens all the time"
9,2022-11-23 20:32:00+00:00,jogia_sheetal,@tonycarson100 @liz_fidler Excellent opportunity which includes #pharmacytechnicians 😊
10,2022-11-23 20:00:38+00:00,Sheetal1842,I have unlimited internet and that's the only thing I like about my job.
11,2022-11-23 19:58:28+00:00,IndiGo6E,"@imRohitTomar Mr Tomar, we'll help you out. Please DM us your concern. ~Sheetal  https://t.co/xcJPAifuBc"
12,2022-11-23 19:57:51+00:00,sarkardev60,@Shiv_ki_patni @Komal92011670 Shivrit nonceleb vs celeb this sheetal colors show wat u ll do
13,2022-11-23 19:52:41+00:00,sheetalsheth,@radhabharadwaj @samatlounge Thank you!
14,2022-11-23 19:52:12+00:00,sheetalsheth,@writesinLA @penguinrandom @MMPress_ Thank you! ❤️
15,2022-11-23 19:51:22+00:00,IndiGo6E,"@shaikhalam_alam Sir, did you try clearing the cache &amp; cookies or any other alternate web browser? Please share your contact details via DM so we may connect with you. ~Sheetal  https://t.co/xcJPAifuBc"
